"CAINC1 Personal Income Summary: Personal Income, Population, Per Capita Personal Income"
"" 
"Bureau of Economic Analysis" 
"County"
"GeoFips","GeoName","LineCode","Description","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"48047","Brooks, TX","2","Population (persons) 1/",7944,7669,7668,7627,7593,7562,7490,7413,7345,7297,7208,7217,7199,7263,7234,7200,7200,7153,7114
"48047","Brooks, TX","3","Per capita personal income (dollars) 2/",15468,17911,18056,19968,20974,22213,24262,25232,26427,25823,28194,31438,32446,33420,34818,35403,32958,33258,33861
"48049","Brown, TX","1","Personal income (thousands of dollars)",770142,810082,823848,844696,861351,905914,942379,992449,1042081,1058243,1115278,1149782,1179555,1231638,1296100,1348167,1355232,1409466,1472596
"48049","Brown, TX","2","Population (persons) 1/",37689,37599,37766,37654,37940,38172,38492,38221,38135,38001,38078,37998,37811,37673,37555,37749,38074,37870,37924
"48049","Brown, TX","3","Per capita personal income (dollars) 2/",20434,21545,21815,22433,22703,23732,24482,25966,27326,27848,29289,30259,31196,32693,34512,35714,35595,37219,38830
"48051","Burleson, TX","1","Personal income (thousands of dollars)",359245,387807,397075,421377,433910,461882,499672,520875,552767,547702,590785,614604,665009,678644,701898,717682,701854,735686,783900
"48051","Burleson, TX","2","Population (persons) 1/",16553,16650,16666,16881,16964,17167,17000,16982,17025,17076,17236,17324,17431,17269,17390,17614,17855,18068,18389
"48051","Burleson, TX","3","Per capita personal income (dollars) 2/",21703,23292,23825,24962,25578,26905,29392,30672,32468,32074,34276,35477,38151,39298,40362,40745,39309,40718,42629
"48053","Burnet, TX","1","Personal income (thousands of dollars)",835246,939656,971960,1026239,1099971,1189094,1353790,1466603,1557555,1479998,1482530,1600030,1776389,1734426,1881494,1970553,2003774,2080453,2211485
"48053","Burnet, TX","2","Population (persons) 1/",34505,35741,36850,37776,38966,39798,41109,42026,42477,42611,42755,43206,43370,43580,43951,44753,45852,46654,47542
"48053","Burnet, TX","3","Per capita personal income (dollars) 2/",24207,26291,26376,27166,28229,29878,32932,34898,36668,34733,34675,37033,40959,39799,42809,44032,43701,44593,46516
"48055","Caldwell, TX","1","Personal income (thousands of dollars)",638978,691865,713072,745944,770143,820136,848318,895854,952308,952089,1014436,1110088,1141591,1139451,1192739,1267065,1296151,1361130,1456019
"48055","Caldwell, TX","2","Population (persons) 1/",32378,33654,34715,35330,36200,36388,36533,36906,37671,37829,38131,38472,38690,39215,39721,40442,41169,42425,43247
"48055","Caldwell, TX","3","Per capita personal income (dollars) 2/",19735,20558,20541,21114,21275,22539,23221,24274,25280,25168,26604,28854,29506,29057,30028,31330,31484,32083,33668
"48057","Calhoun, TX","1","Personal income (thousands of dollars)",442428,458762,449454,460841,452870,487823,524231,583502,657863,599890,637272,710559,742008,813121,800592,804484,777121,796851,833716
"48057","Calhoun, TX","2","Population (persons) 1/",20676,20762,20550,20575,20692,20715,20839,20888,21127,21388,21313,21358,21578,21735,21821,21906,21977,21770,21561
"48057","Calhoun, TX","3","Per capita personal income (dollars) 2/",21398,22096,21871,22398,21886,23549,25156,27935,31138,28048,29901,33269,34387,37411,36689,36724,35361,36603,38668
"48059","Callahan, TX","1","Personal income (thousands of dollars)",268720,292270,301861,313627,318326,338318,358017,384117,391029,379562,402001,424646,463360,482736,508863,516491,507462,519187,551248
"48059","Callahan, TX","2","Population (persons) 1/",12885,12703,12799,12913,13156,13281,13309,13418,13474,13548,13513,13511,13488,13501,13506,13591,13789,13968,13994
"48059","Callahan, TX","3","Per capita personal income (dollars) 2/",20855,23008,23585,24288,24196,25474,26900,28627,29021,28016,29749,31430,34353,35756,37677,38002,36802,37170,39392
"48061","Cameron, TX","1","Personal income (thousands of dollars)",5179027,5702060,6093730,6409249,6611838,6983279,7488857,7990931,8543864,8882951,9518840,9962797,10228234,10435878,10834952,11175188,11407526,11606636,12189811
"48061","Cameron, TX","2","Population (persons) 1/",336123,342368,350194,358492,366299,373429,380169,386306,393000,400303,407654,413291,416098,417705,419467,420058,422137,423181,423908
"48061","Cameron, TX","3","Per capita personal income (dollars) 2/",15408,16655,17401,17878,18050,18700,19699,20685,21740,22191,23350,24106,24581,24984,25830,26604,27023,27427,28756
"48063","Camp, TX","1","Personal income (thousands of dollars)",276035,288883,295252,297341,315017,331238,345654,359196,389843,391522,396425,400851,419597,442733,478545,498501,471250,479366,503851
"48063","Camp, TX","2","Population (persons) 1/",11568,11399,11549,11582,11715,11990,12068,12253,12331,12364,12397,12421,12491,12467,12664,12708,12786,12874,13033
"48063","Camp, TX","3","Per capita personal income (dollars) 2/",23862,25343,25565,25673,26890,27626,28642,29315,31615,31666,31977,32272,33592,35512,37788,39227,36857,37235,38660
"48065","Carson, TX","1","Personal income (thousands of dollars)",180412,184431,172572,173543,173661,182824,174465,208829,205329,205308,236872,225994,228878,262653,252612,268273,255697,258273,278471
"48065","Carson, TX","2","Population (persons) 1/",6492,6385,6508,6391,6381,6449,6413,6361,6260,6220,6163,6238,6090,5988,6037,6011,6095,6010,6005
"48065","Carson, TX","3","Per capita personal income (dollars) 2/",27790,28885,26517,27154,27215,28349,27205,32830,32800,33008,38435,36229,37583,43863,41844,44630,41952,42974,46373
"48067","Cass, TX","1","Personal income (thousands of dollars)",638818,639671,643887,659009,704334,724631,748198,801016,855332,844001,916571,965324,987338,994064,1033517,1047166,1042200,1057520,1111548
